Model,Kelime,Benzer Kelime,Benzerlik
models/word2vec_lemmatized_cbow_win2_dim100.model,shoe,running,0.9937
models/word2vec_lemmatized_cbow_win2_dim100.model,shoe,smooth,0.9929
models/word2vec_lemmatized_cbow_win2_dim100.model,shoe,slingback,0.9925
models/word2vec_lemmatized_cbow_win2_dim100.model,shoe,material,0.9917
models/word2vec_lemmatized_cbow_win2_dim100.model,shoe,boot,0.9908
models/word2vec_lemmatized_skipgram_win2_dim100.model,shoe,loafer,0.9622
models/word2vec_lemmatized_skipgram_win2_dim100.model,shoe,sneaker,0.962
models/word2vec_lemmatized_skipgram_win2_dim100.model,shoe,running,0.9614
models/word2vec_lemmatized_skipgram_win2_dim100.model,shoe,material,0.9575
models/word2vec_lemmatized_skipgram_win2_dim100.model,shoe,heeled,0.9567
models/word2vec_lemmatized_cbow_win4_dim100.model,shoe,sneaker,0.9932
models/word2vec_lemmatized_cbow_win4_dim100.model,shoe,finish,0.9928
models/word2vec_lemmatized_cbow_win4_dim100.model,shoe,running,0.9925
models/word2vec_lemmatized_cbow_win4_dim100.model,shoe,suede,0.9921
models/word2vec_lemmatized_cbow_win4_dim100.model,shoe,saddle,0.9904
models/word2vec_lemmatized_skipgram_win4_dim100.model,shoe,loafer,0.988
models/word2vec_lemmatized_skipgram_win4_dim100.model,shoe,patent,0.981
models/word2vec_lemmatized_skipgram_win4_dim100.model,shoe,running,0.9702
models/word2vec_lemmatized_skipgram_win4_dim100.model,shoe,ornamental,0.9669
models/word2vec_lemmatized_skipgram_win4_dim100.model,shoe,sneaker,0.9662
models/word2vec_lemmatized_cbow_win2_dim300.model,shoe,finish,0.9962
models/word2vec_lemmatized_cbow_win2_dim300.model,shoe,smooth,0.9958
models/word2vec_lemmatized_cbow_win2_dim300.model,shoe,ornamental,0.995
models/word2vec_lemmatized_cbow_win2_dim300.model,shoe,platform,0.995
models/word2vec_lemmatized_cbow_win2_dim300.model,shoe,running,0.9948
models/word2vec_lemmatized_skipgram_win2_dim300.model,shoe,sneaker,0.9782
models/word2vec_lemmatized_skipgram_win2_dim300.model,shoe,running,0.9752
models/word2vec_lemmatized_skipgram_win2_dim300.model,shoe,style,0.9712
models/word2vec_lemmatized_skipgram_win2_dim300.model,shoe,combination,0.9691
models/word2vec_lemmatized_skipgram_win2_dim300.model,shoe,material,0.9643
models/word2vec_lemmatized_cbow_win4_dim300.model,shoe,finish,0.9973
models/word2vec_lemmatized_cbow_win4_dim300.model,shoe,boot,0.9965
models/word2vec_lemmatized_cbow_win4_dim300.model,shoe,running,0.9959
models/word2vec_lemmatized_cbow_win4_dim300.model,shoe,sneaker,0.9957
models/word2vec_lemmatized_cbow_win4_dim300.model,shoe,patent,0.9936
models/word2vec_lemmatized_skipgram_win4_dim300.model,shoe,loafer,0.9906
models/word2vec_lemmatized_skipgram_win4_dim300.model,shoe,sneaker,0.9821
models/word2vec_lemmatized_skipgram_win4_dim300.model,shoe,patent,0.9775
models/word2vec_lemmatized_skipgram_win4_dim300.model,shoe,running,0.971
models/word2vec_lemmatized_skipgram_win4_dim300.model,shoe,ornamental,0.964
models/word2vec_stemmed_cbow_win2_dim100.model,shoe,run,0.996
models/word2vec_stemmed_cbow_win2_dim100.model,shoe,sneaker,0.9951
models/word2vec_stemmed_cbow_win2_dim100.model,shoe,design,0.9922
models/word2vec_stemmed_cbow_win2_dim100.model,shoe,smooth,0.992
models/word2vec_stemmed_cbow_win2_dim100.model,shoe,finish,0.9919
models/word2vec_stemmed_skipgram_win2_dim100.model,shoe,run,0.9751
models/word2vec_stemmed_skipgram_win2_dim100.model,shoe,sneaker,0.9749
models/word2vec_stemmed_skipgram_win2_dim100.model,shoe,loafer,0.9721
models/word2vec_stemmed_skipgram_win2_dim100.model,shoe,style,0.9488
models/word2vec_stemmed_skipgram_win2_dim100.model,shoe,materi,0.9472
models/word2vec_stemmed_cbow_win4_dim100.model,shoe,run,0.9945
models/word2vec_stemmed_cbow_win4_dim100.model,shoe,sneaker,0.9911
models/word2vec_stemmed_cbow_win4_dim100.model,shoe,design,0.991
models/word2vec_stemmed_cbow_win4_dim100.model,shoe,patent,0.9891
models/word2vec_stemmed_cbow_win4_dim100.model,shoe,boot,0.9886
models/word2vec_stemmed_skipgram_win4_dim100.model,shoe,loafer,0.9889
models/word2vec_stemmed_skipgram_win4_dim100.model,shoe,patent,0.9784
models/word2vec_stemmed_skipgram_win4_dim100.model,shoe,derbi,0.9638
models/word2vec_stemmed_skipgram_win4_dim100.model,shoe,run,0.9635
models/word2vec_stemmed_skipgram_win4_dim100.model,shoe,ornament,0.9624
models/word2vec_stemmed_cbow_win2_dim300.model,shoe,run,0.998
models/word2vec_stemmed_cbow_win2_dim300.model,shoe,monochromat,0.9973
models/word2vec_stemmed_cbow_win2_dim300.model,shoe,sneaker,0.997
models/word2vec_stemmed_cbow_win2_dim300.model,shoe,ornament,0.9969
models/word2vec_stemmed_cbow_win2_dim300.model,shoe,sued,0.9967
models/word2vec_stemmed_skipgram_win2_dim300.model,shoe,sneaker,0.9855
models/word2vec_stemmed_skipgram_win2_dim300.model,shoe,run,0.9805
models/word2vec_stemmed_skipgram_win2_dim300.model,shoe,materi,0.9734
models/word2vec_stemmed_skipgram_win2_dim300.model,shoe,loafer,0.9717
models/word2vec_stemmed_skipgram_win2_dim300.model,shoe,patent,0.9711
models/word2vec_stemmed_cbow_win4_dim300.model,shoe,sneaker,0.9969
models/word2vec_stemmed_cbow_win4_dim300.model,shoe,run,0.9969
models/word2vec_stemmed_cbow_win4_dim300.model,shoe,design,0.9969
models/word2vec_stemmed_cbow_win4_dim300.model,shoe,finish,0.9965
models/word2vec_stemmed_cbow_win4_dim300.model,shoe,sued,0.996
models/word2vec_stemmed_skipgram_win4_dim300.model,shoe,loafer,0.9898
models/word2vec_stemmed_skipgram_win4_dim300.model,shoe,patent,0.9826
models/word2vec_stemmed_skipgram_win4_dim300.model,shoe,ornament,0.972
models/word2vec_stemmed_skipgram_win4_dim300.model,shoe,sneaker,0.9694
models/word2vec_stemmed_skipgram_win4_dim300.model,shoe,run,0.9589
